Vin (V)    Vout (V)   |Vin - Vout| (V)
----------------------------------------------
0.00       1.80       1.80           
0.01       1.80       1.79           
0.02       1.80       1.78           
0.03       1.80       1.77           
0.04       1.80       1.76           
0.05       1.80       1.75           
0.06       1.80       1.74           
0.07       1.80       1.73           
0.08       1.80       1.72           
0.09       1.80       1.71           
0.10       1.80       1.70           
0.11       1.80       1.69           
0.12       1.80       1.68           
0.13       1.80       1.67           
0.14       1.80       1.66           
0.15       1.80       1.65           
0.16       1.80       1.64           
0.17       1.80       1.63           
0.18       1.80       1.62           
0.19       1.80       1.61           
0.20       1.80       1.60           
0.21       1.80       1.59           
0.22       1.80       1.58           
0.23       1.80       1.57           
0.24       1.80       1.56           
0.25       1.80       1.55           
0.26       1.80       1.54           
0.27       1.80       1.53           
0.28       1.80       1.52           
0.29       1.80       1.51           
0.30       1.80       1.50           
0.31       1.80       1.49           
0.32       1.80       1.48           
0.33       1.80       1.47           
0.34       1.80       1.46           
0.35       1.80       1.45           
0.36       1.80       1.44           
0.37       1.80       1.43           
0.38       1.80       1.42           
0.39       1.80       1.41           
0.40       1.80       1.40           
0.41       1.80       1.39           
0.42       1.80       1.38           
0.43       1.80       1.37           
0.44       1.80       1.36           
0.45       1.80       1.35           
0.46       1.80       1.34           
0.47       1.80       1.33           
0.48       1.80       1.32           
0.49       1.80       1.31           
0.50       1.80       1.30           
0.51       1.80       1.29           
0.52       1.80       1.28           
0.53       1.80       1.27           
0.54       1.79       1.25           
0.55       1.79       1.24           
0.56       1.79       1.23           
0.57       1.79       1.22           
0.58       1.79       1.21           
0.59       1.78       1.19           
0.60       1.78       1.18           
0.61       1.77       1.16           
0.62       1.76       1.14           
0.63       1.75       1.12           
0.64       1.74       1.10           
0.65       1.72       1.07           
0.66       1.69       1.03           
0.67       1.62       0.95           
0.68       0.49       0.19           
0.69       0.09       0.60           
0.70       0.06       0.64           
0.71       0.05       0.66           
0.72       0.04       0.68           
0.73       0.03       0.70           
0.74       0.02       0.72           
0.75       0.02       0.73           
0.76       0.02       0.74           
0.77       0.01       0.76           
0.78       0.01       0.77           
0.79       0.01       0.78           
0.80       0.01       0.79           
0.81       0.01       0.80           
0.82       0.00       0.82           
0.83       0.00       0.83           
0.84       0.00       0.84           
0.85       0.00       0.85           
0.86       0.00       0.86           
0.87       0.00       0.87           
0.88       0.00       0.88           
0.89       0.00       0.89           
0.90       0.00       0.90           
0.91       0.00       0.91           
0.92       0.00       0.92           
0.93       0.00       0.93           
0.94       0.00       0.94           
0.95       0.00       0.95           
0.96       0.00       0.96           
0.97       0.00       0.97           
0.98       0.00       0.98           
0.99       0.00       0.99           
1.00       0.00       1.00           
1.01       0.00       1.01           
1.02       0.00       1.02           
1.03       0.00       1.03           
1.04       0.00       1.04           
1.05       0.00       1.05           
1.06       0.00       1.06           
1.07       0.00       1.07           
1.08       0.00       1.08           
1.09       0.00       1.09           
1.10       0.00       1.10           
1.11       0.00       1.11           
1.12       0.00       1.12           
1.13       0.00       1.13           
1.14       0.00       1.14           
1.15       0.00       1.15           
1.16       0.00       1.16           
1.17       0.00       1.17           
1.18       0.00       1.18           
1.19       0.00       1.19           
1.20       0.00       1.20           
1.21       0.00       1.21           
1.22       0.00       1.22           
1.23       0.00       1.23           
1.24       0.00       1.24           
1.25       0.00       1.25           
1.26       0.00       1.26           
1.27       0.00       1.27           
1.28       0.00       1.28           
1.29       0.00       1.29           
1.30       0.00       1.30           
1.31       0.00       1.31           
1.32       0.00       1.32           
1.33       0.00       1.33           
1.34       0.00       1.34           
1.35       0.00       1.35           
1.36       0.00       1.36           
1.37       0.00       1.37           
1.38       0.00       1.38           
1.39       0.00       1.39           
1.40       0.00       1.40           
1.41       0.00       1.41           
1.42       0.00       1.42           
1.43       0.00       1.43           
1.44       0.00       1.44           
1.45       0.00       1.45           
1.46       0.00       1.46           
1.47       0.00       1.47           
1.48       0.00       1.48           
1.49       0.00       1.49           
1.50       0.00       1.50           
1.51       0.00       1.51           
1.52       0.00       1.52           
1.53       0.00       1.53           
1.54       0.00       1.54           
1.55       0.00       1.55           
1.56       0.00       1.56           
1.57       0.00       1.57           
1.58       0.00       1.58           
1.59       0.00       1.59           
1.60       0.00       1.60           
1.61       0.00       1.61           
1.62       0.00       1.62           
1.63       0.00       1.63           
1.64       0.00       1.64           
1.65       0.00       1.65           
1.66       0.00       1.66           
1.67       0.00       1.67           
1.68       0.00       1.68           
1.69       0.00       1.69           
1.70       0.00       1.70           
1.71       0.00       1.71           
1.72       0.00       1.72           
1.73       0.00       1.73           
1.74       0.00       1.74           
1.75       0.00       1.75           
1.76       0.00       1.76           
1.77       0.00       1.77           
1.78       0.00       1.78           
1.79       0.00       1.79           
1.80       0.00       1.80           
